Location ID,Date,Cases to Date,Population,New Cases,Viral RNA Concentration (copies/gram of dry sludge),Proportion of Population Fully Vaccinated
2,43460,4901,25015,11, ,0.753125
3,43460,5154,31488,0,636000,0.702348
4,43460,14276,63911,68, ,0.863814
5,43460,11893,44245,40,46515482.59,0.883212
6,43460,11818,48666,43,4127154.15,0.870958
7,43460,16542,72446,68,11891493.06,0.820602
8,43460,8008,38414,13, ,0.835539
9,43460,9724,47367,88,6596244.303,0.757013
10,43460,24114,86703,128,18544106.62,0.786894
11,43460,13669,42483,11, ,0.770023
12,43460,6718,29920,5, ,0.774453
1,43459,38323,79997,0, , 
2,43459,4890,25015,0,20010989.58, 
3,43459,5154,31488,11,1008175.6, 
4,43459,14208,63911,0, , 
5,43459,11853,44245,0, , 
6,43459,11775,48666,0, , 
7,43459,16474,72446,0, , 
8,43459,7995,38414,0, , 
9,43459,9636,47367,0,6562110.732, 
10,43459,23986,86703,0, , 
11,43459,13658,42483,-2,17365566.68, 
12,43459,6713,29920,0, , 
1,43458,38323,79997,0, , 
2,43458,4890,25015,0, , 
3,43458,5143,31488,8,2219036.9, 
4,43458,14208,63911,0, , 
5,43458,11853,44245,0, , 
6,43458,11775,48666,0, , 
7,43458,16474,72446,0, , 
8,43458,7995,38414,0, , 
9,43458,9636,47367,0, , 
10,43458,23986,86703,0, , 
11,43458,13660,42483,0,12050991.82, 
12,43458,6713,29920,0, , 
1,43457,38323,79997,0, , 
2,43457,4890,25015,0, , 
3,43457,5135,31488,13,471000, 
4,43457,14208,63911,0, , 
5,43457,11853,44245,0, , 
6,43457,11775,48666,0, , 
7,43457,16474,72446,0, , 
8,43457,7995,38414,7, , 
9,43457,9636,47367,0, , 
10,43457,23986,86703,0, , 
11,43457,13660,42483,11, , 
12,43457,6713,29920,2, , 
1,43456,38323,79997,0, , 
2,43456,4890,25015,0, , 
3,43456,5122,31488,3,604000, 
4,43456,14208,63911,0, , 
5,43456,11853,44245,0, , 
6,43456,11775,48666,0, , 
7,43456,16474,72446,0, , 
8,43456,7988,38414,6,8377842.009, 
9,43456,9636,47367,0, , 
10,43456,23986,86703,0, , 
11,43456,13649,42483,11, , 
12,43456,6711,29920,5, , 
1,43455,38323,79997,170,33768334.28, 
2,43455,4890,25015,20, , 
3,43455,5119,31488,2,1500493.53, 
4,43455,14208,63911,22,11077616.59, 
5,43455,11853,44245,19,15132509.73, 
6,43455,11775,48666,14,3650019.61, 
7,43455,16474,72446,26,6687213.564, 
8,43455,7982,38414,13,6699578.065, 
9,43455,9636,47367,0,4321834.108, 
10,43455,23986,86703,0, , 
11,43455,13638,42483,4, , 
12,43455,6706,29920,2, , 
1,43454,38153,79997,0,41177968.24, 
2,43454,4870,25015,0, , 
3,43454,5117,31488,4,434000, 
4,43454,14186,63911,10, , 
5,43454,11834,44245,18, , 
6,43454,11761,48666,9,2260427.995, 
7,43454,16448,72446,10, , 
8,43454,7969,38414,3,9381184.896, 
9,43454,9636,47367,0, , 
10,43454,23986,86703,0,6402813.287, 
11,43454,13634,42483,8, , 
12,43454,6704,29920,3,14120700.55, 
1,43453,38153,79997,0, ,0.983165
2,43453,4870,25015,0,83407256.68,0.75285
3,43453,5113,31488,6,818000,0.702125
4,43453,14176,63911,77,10569711.46,0.863355
5,43453,11816,44245,75,4465409.749,0.882682
6,43453,11752,48666,52,2143698.261,0.870832
7,43453,16438,72446,88,5139336.204,0.820267
8,43453,7966,38414,18, ,0.835307
